Run_ID	Model	RMSE
1	RFPred	3.60255677191961
1	LassoPred	1.36789915404683
1	RidgePred	2.9899656933526
1	ForwardPredMean	1.10329138986916
1	BMA_Mean	0.882123144401395
12	RFPred	3.35318163973993
12	LassoPred	1.46681577411894
12	RidgePred	3.05182568516118
12	ForwardPredMean	0.949874747721499
12	BMA_Mean	0.869825895033934
36	RFPred	3.45705573978331
36	LassoPred	1.70932315965871
36	RidgePred	3.32678429826382
36	ForwardPredMean	1.43918336728639
36	BMA_Mean	1.23811875472244
25	RFPred	2.54974339869734
25	LassoPred	0.831597839270613
25	RidgePred	2.48447358399301
25	ForwardPredMean	1.5565625919714
25	BMA_Mean	0.676534549100252
3	RFPred	3.81476105147785
3	LassoPred	1.23990058885907
3	RidgePred	2.79968258408801
3	ForwardPredMean	1.1297540378897
3	BMA_Mean	0.904175099023178
60	RFPred	2.87029306676654
60	LassoPred	1.43840777807942
60	RidgePred	2.32008100169011
60	ForwardPredMean	1.4818472853105
60	BMA_Mean	1.35754532744638
84	RFPred	3.02756870971587
84	LassoPred	1.09984137604375
84	RidgePred	2.93803565198611
84	ForwardPredMean	1.13105391030247
84	BMA_Mean	0.955867725090356
73	RFPred	2.83799870323849
73	LassoPred	1.84484188764561
73	RidgePred	2.61770095361208
73	ForwardPredMean	1.06617773987612
73	BMA_Mean	0.74734536716104
51	RFPred	2.56780007927697
51	LassoPred	0.708475922760901
51	RidgePred	2.40005791975722
51	ForwardPredMean	0.772674368933017
51	BMA_Mean	0.650850242067145
40	RFPred	3.12966234502974
40	LassoPred	1.37280304320203
40	RidgePred	2.96147704861161
40	ForwardPredMean	0.947051322066319
40	BMA_Mean	0.947663724348638
86	RFPred	2.6547071224792
86	LassoPred	0.828659648010118
86	RidgePred	2.49087298525039
86	ForwardPredMean	0.896460885420192
86	BMA_Mean	0.618483012439956
75	RFPred	2.60578734754766
75	LassoPred	0.869217905570375
75	RidgePred	2.47884655042293
75	ForwardPredMean	1.11094775277636
75	BMA_Mean	0.686301993191411
64	RFPred	3.18494623306258
64	LassoPred	1.16894931195635
64	RidgePred	3.08360098903648
64	ForwardPredMean	1.06635740623114
64	BMA_Mean	0.90884430453162
45	RFPred	2.70582370260131
45	LassoPred	1.53774759578124
45	RidgePred	2.53655808001018
45	ForwardPredMean	1.6064979530856
45	BMA_Mean	0.947448280711308
88	RFPred	2.80529093399097
88	LassoPred	1.89342652627691
88	RidgePred	2.87333254299632
88	ForwardPredMean	1.82666228209917
88	BMA_Mean	0.765804670640819
9	RFPred	3.33816232076905
9	LassoPred	1.53073255692398
9	RidgePred	3.21124717714916
9	ForwardPredMean	1.29212824887689
9	BMA_Mean	1.04115088312521
74	RFPred	2.75972418182479
74	LassoPred	1.1184979210163
74	RidgePred	2.51187847282922
74	ForwardPredMean	1.25665138980596
74	BMA_Mean	0.874563198252446
90	RFPred	2.78026898144659
90	LassoPred	0.886124799094522
90	RidgePred	2.7898059438453
90	ForwardPredMean	0.925762204136688
90	BMA_Mean	0.805127325382792
41	RFPred	2.82083522452984
41	LassoPred	1.3139232115227
41	RidgePred	2.58087546189916
41	ForwardPredMean	1.01442620627073
41	BMA_Mean	0.656481074558391
11	RFPred	3.33950158987824
11	LassoPred	0.958226091631952
11	RidgePred	2.8291480647402
11	ForwardPredMean	1.03599438873375
11	BMA_Mean	0.775556539103365
8	RFPred	3.25284610599549
8	LassoPred	1.74747785853252
8	RidgePred	2.93051989210465
8	ForwardPredMean	1.60451658892804
8	BMA_Mean	0.87657235849406
24	RFPred	2.7203539459874
24	LassoPred	0.792254624908763
24	RidgePred	2.3379265877249
24	ForwardPredMean	0.925987219863014
24	BMA_Mean	0.751084053581683
2	RFPred	2.66715895059486
2	LassoPred	1.68990222478865
2	RidgePred	2.44473913659678
2	ForwardPredMean	0.824988180889523
2	BMA_Mean	0.731671794365961
59	RFPred	3.18329145466094
59	LassoPred	1.37199580859869
59	RidgePred	2.87832455017581
59	ForwardPredMean	0.981256392546475
59	BMA_Mean	0.843711456046775
37	RFPred	2.68834779386987
37	LassoPred	1.65506987691161
37	RidgePred	2.63671849215889
37	ForwardPredMean	1.86170406998034
37	BMA_Mean	0.990782452455584
26	RFPred	2.65824251715197
26	LassoPred	1.49568835555107
26	RidgePred	2.50465388371031
26	ForwardPredMean	0.93611293804749
26	BMA_Mean	0.668455193064682
94	RFPred	3.30751784620243
94	LassoPred	1.25941018331086
94	RidgePred	3.03306734408611
94	ForwardPredMean	1.05626780280012
94	BMA_Mean	1.10960322035443
69	RFPred	2.98131202082498
69	LassoPred	1.34477290591706
69	RidgePred	2.84490872179939
69	ForwardPredMean	1.1903610156525
69	BMA_Mean	0.951251211957819
39	RFPred	2.77045283574372
39	LassoPred	0.770437577293145
39	RidgePred	2.5600293823243
39	ForwardPredMean	1.2978992546146
39	BMA_Mean	1.32490762032706
78	RFPred	3.63069887727015
78	LassoPred	0.961833785736758
